feature,mean_abs_shap
url_len,1.395617778827812
text_len,0.9097295757488726
num_iframes,0.6338761246740298
hostname_len,0.21822985590146868
svd_0,0.20774165005607054
svd_42,0.19833230322641315
svd_198,0.16271437861404267
svd_56,0.14625883224529093
svd_128,0.12549994935940523
num_digits,0.11229473952687118
svd_109,0.10765113428913174
svd_173,0.105182740643248
svd_97,0.10162629379080614
svd_124,0.09691388864843761
svd_53,0.07314159696149872
svd_15,0.07203747420320294
svd_133,0.0682340216408513
svd_199,0.06711022295468717
svd_10,0.06707871506715891
svd_117,0.06549470665343107
svd_22,0.0653876747070346
svd_99,0.06220815769657495
svd_161,0.059619532744167286
svd_58,0.0533227820280241
svd_111,0.050426113306998734
svd_151,0.04959829073494765
svd_39,0.04838454099744558
svd_164,0.0478470643382054
svd_54,0.04710856499677174
svd_185,0.04454188840201822
svd_26,0.04437587235172976
svd_107,0.04340405361624436
svd_31,0.04222635236432541
host_entropy,0.04121838288262954
num_inputs,0.0407757431876846
svd_114,0.040492340793414024
svd_175,0.04045044940200168
svd_12,0.040439934174704824
svd_95,0.03820331748295575
svd_25,0.037696388605237
svd_149,0.03582071698008802
svd_71,0.03391451265424838
svd_137,0.0331613833827083
svd_139,0.03258916579615327
svd_76,0.032136767065705514
svd_72,0.03205942492227768
svd_118,0.03135043678001967
svd_87,0.03031899225976669
svd_65,0.027278900429815987
svd_168,0.02488229641236829
svd_169,0.024830044030840496
svd_77,0.024675163281528488
svd_103,0.024580262372549625
svd_48,0.02457556309790234
svd_3,0.02385675119484076
svd_81,0.023128714497946196
path_len,0.02252016830969369
svd_195,0.02051850555827843
svd_130,0.02007416595252578
svd_8,0.019305050104041592
svd_64,0.019151245077978826
svd_66,0.01867728092585458
svd_187,0.018648937349580223
svd_23,0.018637509423814484
svd_177,0.01719751073736117
svd_20,0.017040597611945124
svd_182,0.01702035409882665
svd_28,0.01679251990090124
svd_63,0.01657730968957767
svd_6,0.01633390007079579
svd_105,0.01612735306131653
svd_172,0.01566298841489478
svd_5,0.015588294973294241
svd_102,0.01510093368031084
svd_90,0.014768113860604353
svd_47,0.014720603936607964
svd_112,0.014324336832948011
svd_91,0.014011994322878312
svd_152,0.014005831569805748
svd_74,0.013974032147601245
svd_46,0.013968828153715003
svd_143,0.013797660943062515
svd_101,0.013376186092500577
svd_61,0.012869347299332735
svd_29,0.012073518138984225
svd_154,0.011492790609740766
svd_2,0.011454087674920444
svd_84,0.011410140439734096
svd_30,0.010831531793437892
svd_165,0.010303355821804144
svd_123,0.010149972066329793
svd_145,0.010000936461315725
svd_174,0.009999322201556056
svd_32,0.009805904812901285
svd_148,0.009686270734318521
svd_89,0.009483103532169475
svd_113,0.009427879996009872
svd_1,0.009418771559390022
svd_108,0.009385429392475638
svd_34,0.009302846429566853
svd_62,0.009122327497648077
svd_16,0.008879146627907182
svd_94,0.00885323061454111
svd_18,0.008682903957692903
num_scripts,0.008479633222601838
svd_159,0.008389116549654857
svd_162,0.008154223301121971
svd_196,0.00808112474770752
svd_27,0.007720037175063043
path_depth,0.007614477240387368
num_links,0.007276367073410077
svd_170,0.0071576791859231945
svd_14,0.007125245075346911
svd_82,0.0070923363826237654
svd_155,0.007014802832668648
svd_192,0.006648304741410542
svd_13,0.006592245031264606
svd_180,0.006353727250092195
svd_115,0.00605931566210929
svd_33,0.005991086158039979
svd_147,0.0058718131154892085
status,0.005746672198642045
svd_134,0.0057216394320596
svd_52,0.005529948210017767
svd_179,0.005285362835158592
svd_116,0.005168003348633638
svd_70,0.004680127407133117
svd_129,0.004461128197424121
svd_4,0.004454956610687075
svd_104,0.0044464414864662065
svd_193,0.004383844594494435
svd_51,0.004369783233432106
svd_120,0.003987812605965885
svd_68,0.003760282795876259
svd_96,0.0037342874417081494
svd_83,0.0037118605483323335
external_script_count,0.003555897457164248
svd_191,0.0035023324482142963
svd_140,0.003362746300734574
svd_11,0.003320508557604625
svd_85,0.0029731114641763307
svd_163,0.0029031179722194766
svd_55,0.0028553441723808736
svd_50,0.002772363882255739
svd_158,0.0023937515394762097
svd_121,0.0022824376896955056
svd_100,0.0020556162152497565
svd_7,0.0019942022980656447
svd_36,0.0014933893013745528
svd_184,0.001441925338702276
num_forms,0.0009473967350611931
num_hyphen,0.0008074266068637364
svd_21,0.0007545409742044278
svd_144,0.0004674064932623878
svd_57,0.0003057254353945609
svd_67,0.0002822470430575776
svd_166,0.00026996418181806807
svd_194,0.00021457310160621996
svd_189,0.00020373211234109477
svd_135,0.0001862868149532008
svd_80,0.0001715934365522118
svd_37,0.00015358247242693327
svd_132,0.00014779085610061883
svd_73,0.0001395070570288225
svd_160,0.00010698039204580718
svd_92,0.0001021367866429501
svd_40,9.382149116136127e-05
svd_106,4.34107280918397e-05
num_dots,0.0
svd_186,0.0
is_ip,0.0
svd_188,0.0
svd_19,0.0
svd_190,0.0
has_at,0.0
svd_197,0.0
svd_35,0.0
svd_167,0.0
svd_183,0.0
svd_38,0.0
svd_181,0.0
svd_176,0.0
svd_171,0.0
num_underscore,0.0
svd_178,0.0
svd_136,0.0
svd_157,0.0
svd_59,0.0
svd_122,0.0
svd_119,0.0
has_hidden_styles,0.0
has_login_keywords,0.0
svd_24,0.0
svd_110,0.0
svd_98,0.0
svd_93,0.0
svd_125,0.0
svd_60,0.0
svd_88,0.0
svd_86,0.0
svd_69,0.0
svd_79,0.0
svd_78,0.0
svd_75,0.0
svd_49,0.0
svd_126,0.0
svd_156,0.0
svd_44,0.0
svd_153,0.0
svd_41,0.0
is_https.1,0.0
svd_150,0.0
svd_17,0.0
svd_146,0.0
svd_43,0.0
svd_142,0.0
svd_127,0.0
svd_141,0.0
has_suspicious_kw,0.0
svd_138,0.0
suspicious_token_count,0.0
svd_9,0.0
svd_131,0.0
svd_45,0.0
is_https,0.0
